   35090:	1746677193	 61.645	 -0.997256	 -0.996907	 0.999545	 1.619545	 1.374533	 -4.854728	  1.634043 	 -0.009736
   35091:	1746677194	 60.446	 -0.997265	 -0.996913	 0.999550	 1.619567	 1.374558	 -4.854520	  1.634040 	 -0.010726
   35092:	1746677195	 61.738	 -0.997249	 -0.996903	 0.999532	 1.619542	 1.374572	 -4.854483	  1.634055 	 -0.009590
   35093:	1746677196	 61.830	 -0.997264	 -0.996904	 0.999546	 1.619573	 1.374564	 -4.854413	  1.634047 	 -0.010373
   35094:	1746677197	 61.599	 -0.997265	 -0.996913	 0.999558	 1.619587	 1.374581	 -4.854259	  1.634029 	 -0.012391
   35095:	1746677198	 62.568	 -0.997268	 -0.996918	 0.999552	 1.619578	 1.374570	 -4.854421	  1.634049 	 -0.012582
   35096:	1746677199	 61.015	 -0.997262	 -0.996918	 0.999541	 1.619585	 1.374595	 -4.854324	  1.634031 	 -0.013517
   35097:	1746677200	 61.369	 -0.997264	 -0.996910	 0.999554	 1.619574	 1.374571	 -4.854294	  1.634068 	 -0.008977
   35098:	1746677201	 61.415	 -0.997260	 -0.996908	 0.999547	 1.619564	 1.374581	 -4.854330	  1.634058 	 -0.011043
   35099:	1746677202	 62.091	 -0.997259	 -0.996912	 0.999548	 1.619569	 1.374554	 -4.854579	  1.634053 	 -0.010972
   35100:	1746677203	 61.738	 -0.997262	 -0.996914	 0.999546	 1.619562	 1.374543	 -4.854680	  1.634040 	 -0.011039
   35101:	1746677204	 60.784	 -0.997260	 -0.996911	 0.999541	 1.619557	 1.374536	 -4.854706	  1.634042 	 -0.010560
   35102:	1746677205	 61.092	 -0.997261	 -0.996915	 0.999568	 1.619584	 1.374568	 -4.854459	  1.634016 	 -0.009699
   35103:	1746677206	 61.307	 -0.997263	 -0.996919	 0.999539	 1.619586	 1.374568	 -4.854407	  1.634044 	 -0.011096
   35104:	1746677207	 61.830	 -0.997261	 -0.996919	 0.999551	 1.619559	 1.374551	 -4.854478	  1.634045 	 -0.010499
   35105:	1746677208	 61.338	 -0.997255	 -0.996911	 0.999556	 1.619575	 1.374555	 -4.854475	  1.634039 	 -0.010363
   35106:	1746677209	 61.061	 -0.997263	 -0.996917	 0.999541	 1.619585	 1.374584	 -4.854278	  1.634010 	 -0.010213
   35107:	1746677210	 60.984	 -0.997253	 -0.996913	 0.999530	 1.619556	 1.374585	 -4.854247	  1.634048 	 -0.007087
   35108:	1746677211	 61.830	 -0.997260	 -0.996916	 0.999561	 1.619583	 1.374587	 -4.854301	  1.634072 	 -0.010044
   35109:	1746677212	 61.722	 -0.997266	 -0.996919	 0.999545	 1.619581	 1.374560	 -4.854417	  1.634034 	 -0.009898
   35110:	1746677213	 61.692	 -0.997256	 -0.996911	 0.999563	 1.619577	 1.374571	 -4.854397	  1.634012 	 -0.010015
